datasetName	type	basisOfRecord	modified	language	license	rightsHolder	institutionID	institutionCode	occurrenceID	recordNumber	collectionCode	recordedBy	individualCount	sex	lifestage	occurrenceStatus	disposition	verbatimEventDate	eventDate	year	month	day	habitat	samplingProtocol	fieldNumber	eventRemarks	continent	countryCode	country	stateProvince	county	locality	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	verbatimCoordinates	minimumElevationInMeters	maximumElevationInMeters	locationRemarks	kingdom	phylum	class	order	family	genus	specificEpithet	scientificNameAuthorship	scientificName	taxonRank	identifiedBy	dateIdentified	identificationRemarks	taxonRemarks
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_021		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-10-05	2020	10	5		manual collecting	78		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2225	76.9200	WGS84	75	Kim L.V.	2020		874	884	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Agelenidae	Allagelena	gracilens	(C.L.Koch, 1841)	Allagelena gracilens (C.L.Koch, 1841)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_022		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-10-05	2020	10	5		manual collecting	79		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2236	76.9207	WGS84	75	Kim L.V.	2020		870	884	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Oecobiidae	Oecobius	nadiae	(Spassky, 1936)	Oecobius nadiae (Spassky, 1936)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_023		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-10-05	2020	10	5		manual collecting	83		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2228	76.9199	WGS84	75	Kim L.V.	2020		874	884	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Evarcha	arcuata	(Clerck, 1757)	Evarcha arcuata (Clerck, 1757)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_024		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-10-05	2020	10	5		manual collecting	85		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2224	76.9202	WGS84	75	Kim L.V.	2020		874	884	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Evarcha	arcuata	(Clerck, 1757)	Evarcha arcuata (Clerck, 1757)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_025		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-10-05	2020	10	5		manual collecting	90		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2451	76.9326	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	univittata	Simon, 1882	Scytodes univittata Simon, 1882	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_026		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-10-09	2020	10	9	Mountainous landscapes	manual collecting	93		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2679	76.9344	WGS84	75	Kim L.V.	2020		760	767	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Phylloneta	impressa	(L.Koch, 1881)	Phylloneta impressa (L.Koch, 1881)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_027		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-10-09	2020	10	9	Mountainous landscapes	manual collecting	94		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2678	76.9344	WGS84	75	Kim L.V.	2020		760	767	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Phylloneta	impressa	(L.Koch, 1881)	Phylloneta impressa (L.Koch, 1881)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_028		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-10-09	2020	10	9	Mountainous landscapes	manual collecting	95		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2677	76.9344	WGS84	75	Kim L.V.	2020		760	767	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Dictynidae	Dictyna	arundinacea	(Linnaeus, 1758)	Dictyna arundinacea (Linnaeus, 1758)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_029		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-10-11	2020	10	11		manual collecting	96		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2451	76.9326	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	castanea	(Clerck, 1757)	Steatoda castanea (Clerck, 1757)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_030		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-11-19	2020	11	19		manual collecting	120		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2451	76.9326	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	castanea	(Clerck, 1757)	Steatoda castanea (Clerck, 1757)	SPECIES	Kim L.V.	2020		
